595151.6923,3422749.2298
595153.5238,3422685.1527
595134.7562,3422630.6729
595092.6805,3422605.7960
595069.7600,3422601.2615
595026.1092,3422578.4629
594996.1264,3422567.0642
594961.0406,3422534.8328
594871.4776,3422459.3946
594844.1733,3422428.9204
594813.4505,3422385.5572
594816.0900,3422281.1741
594810.5439,3422257.0388
594798.9247,3422237.8850
594733.7987,3422208.7819
594687.2190,3422179.7887
594677.8762,3422164.9792
594679.1751,3422102.3173
594699.1471,3421956.8486
594699.6439,3421721.1570
594680.1304,3421566.9093
594643.5021,3421481.1058
594638.5292,3421419.8096
594617.9899,3421354.1977
594623.5264,3421299.7256
594633.9838,3421176.2162
594633.5849,3420991.3093
594640.2074,3420926.0314
594628.2605,3420891.4160
594454.5206,3420628.7102
593941.4170,3420027.7324
593865.6459,3419930.0273
593645.8545,3419606.1407
593567.0389,3419489.4352
593443.7643,3419305.5823
593628.7286,3415474.6871
593644.6331,3415563.0468
593648.5418,3415598.5161
593651.0440,3415637.6930
593654.9801,3415673.3050
593658.9165,3415711.5841
593664.1638,3415778.8307
593665.3803,3415815.1281
593666.4142,3415860.1337
593666.4142,3415877.5939
593665.3537,3415929.8774
593665.2418,3415935.3905
593665.0169,3415946.4780
593663.3984,3416075.5464
593662.4268,3416147.2142
593667.7894,3416278.4421
593681.1070,3416326.0301
593701.1562,3416404.1960
593739.5905,3416567.6226
593777.6602,3416720.7255
593792.3854,3416768.3158
593800.7046,3416805.6375
593839.5886,3416953.5540
593844.2245,3416976.8237
593851.3039,3416997.6080
593855.6505,3417027.4079
593874.0280,3417105.5491
593934.6069,3417335.6976
593988.0955,3417548.5327
594014.0560,3417645.0850
594053.4614,3417843.4479
594071.3228,3417904.7519
594086.7437,3417972.7855
594116.9809,3418090.2938
594130.6046,3418136.2883
594170.4345,3418286.9285
594192.4814,3418387.5751
594188.4034,3418432.6578
594171.9582,3418532.9132
594161.3320,3418555.8590
594159.8379,3418566.4933
594139.2104,3418617.5880
594123.9718,3418643.3081
594056.9177,3418722.6151
593990.4481,3418788.0279
593834.6327,3418923.8347
593780.6376,3418976.4484
593451.7668,3419285.7335
593423.9634,3419312.3532
